centering_sigma_mas,command_failure_fraction,n_trials,mean_geometric_throughput_given_success,mean_effective_throughput
10.0,0.0,20000,0.9567476547265981,0.9567476547265981
10.0,0.01,20000,0.9567572503523157,0.946759137086134
10.0,0.02,20000,0.956772430898549,0.9371107574435839
10.0,0.03,20000,0.9567908896509899,0.9273217302497396
10.0,0.04,20000,0.9568178348608257,0.9174926218480457
20.0,0.0,20000,0.948970134415429,0.948970134415429
20.0,0.01,20000,0.9489814936211232,0.9390646370127824
20.0,0.02,20000,0.9489874713486525,0.9294857788124377
20.0,0.03,20000,0.9490194092663363,0.919789611460933
20.0,0.04,20000,0.9490456584398973,0.9100398818780175
25.0,0.0,20000,0.9425232207430677,0.9425232207430677
25.0,0.01,20000,0.9425384998218514,0.9326889724987132
25.0,0.02,20000,0.9425343007316367,0.9231652208516016
25.0,0.03,20000,0.9425788904132775,0.9135474605885483
25.0,0.04,20000,0.9426037840876186,0.9038627685616175
100.0,0.0,20000,0.6192120725584753,0.6192120725584753
100.0,0.01,20000,0.6189985191939014,0.612529984668325
100.0,0.02,20000,0.618865589860569,0.6061479019889342
100.0,0.03,20000,0.6186966180203256,0.5996407621852996
100.0,0.04,20000,0.6184902575767879,0.593070307990382
